date,sp500_ret,nasdaq_ret,nifty_ret,gift_nifty_ret,target
2019-01-03,-2.475673039503723,-3.0369301731743903,-1.1141996757007222,-1.1141996757007222,1
2019-01-04,3.4335714642623527,4.260228410013922,0.5162885930801941,0.5162885930801941,1
2019-01-07,0.7010434848680358,1.255558852373917,0.4143632577580325,0.4143632577580325,1
2019-01-08,0.9695285023358924,1.077601027645625,0.28175965472634346,0.28175965472634346,1
2019-01-09,0.4098045450532162,0.8711045110192828,0.4906430486840696,0.4906430486840696,0
2019-01-10,0.4518418782931244,0.4166941557119941,-0.30907707440862575,-0.30907707440862575,0
2019-01-11,-0.014629784190933748,-0.20884193999065603,-0.24626132017869784,-0.24626132017869784,0
2019-01-14,-0.5257525167898014,-0.9404037417796829,-0.5312723532749919,-0.5312723532749919,1
2019-01-15,1.0721688622945758,1.7073779827146751,1.3895116296032572,1.3895116296032572,1
2019-01-16,0.22219854881162515,0.1546145501878149,0.03214902508350548,0.03214902508350548,1
2019-01-17,0.7591400382211066,0.7074941460931017,0.1368225934293088,0.1368225934293088,1
2019-01-18,1.318305304897005,1.0271780761341276,0.01604738994844812,0.01604738994844812,1
2019-01-21,0.0,0.0,0.5033434010370152,0.5033434010370152,0
2019-01-22,-1.4157306164566674,-1.912333648087361,-0.3566880660501037,-0.3566880660501037,0
2019-01-23,0.22029127742235755,0.0770638023600112,-0.8354123274816327,-0.8354123274816327,1
2019-01-24,0.1375725554363605,0.6787859732623636,0.1689498655541799,0.1689498655541799,0
2019-01-25,0.8488694060713842,1.292152678441627,-0.6382606245884936,-0.6382606245884936,0
2019-01-28,-0.7846827493937836,-1.1051114608086499,-1.1038398055380982,-1.1038398055380982,0
2019-01-29,-0.14562465775435074,-0.8099453446249072,-0.08769465552643796,-0.08769465552643796,0
2019-01-30,1.554926091974429,2.2023854764415374,-0.003758759858607519,-0.003758759858607519,1
2019-01-31,0.8597395948725328,1.373507676051866,1.6818790618479573,1.6818790618479573,1
2019-02-01,0.08986100931438479,-0.24540997910280637,0.5788983808607595,0.5788983808607595,1
2019-02-04,0.6776236617404008,1.1518642338747664,0.17073807867935553,0.17073807867935553,1
2019-02-05,0.470842037697472,0.7422897836900866,0.20252110586724825,0.20252110586724825,1
2019-02-06,-0.22244379802809355,-0.3620643479385177,1.171542803311021,1.171542803311021,1
2019-02-07,-0.9357140143940179,-1.1786629122187087,0.06282690714798367,0.06282690714798367,0
2019-02-08,0.06762010869560964,0.13514852503335728,-1.1364733121095205,-1.1364733121095205,0
2019-02-11,0.07091030986317026,0.13290546671329562,-0.5007475295473629,-0.5007475295473629,0
2019-02-12,1.28902247439735,1.4603404024393196,-0.5271417887377283,-0.5271417887377283,0
2019-02-13,0.3023994668760688,0.07768119652749039,0.0,0.0,0
2019-02-14,-0.2651641555101225,0.08854415277603778,-0.7879921603800577,-0.7879921603800577,0
2019-02-15,1.087875260858695,0.6120945979440018,-0.2014639281967212,-0.2014639281967212,0
