date,sp500_ret,nasdaq_ret,nifty_ret,gift_nifty_ret,vix_india_ret,usdinr_ret,crude_ret,sp500_ret_z20,nasdaq_ret_z20,nifty_ret_z20,gift_nifty_ret_z20,vix_india_ret_z20,usdinr_ret_z20,crude_ret_z20,sp500_mom_3d,sp500_mom_5d,sp500_mom_10d,sp500_mom_5d_z20,sp500_mom_10d_z20,nasdaq_mom_3d,nasdaq_mom_5d,nasdaq_mom_10d,nasdaq_mom_5d_z20,nasdaq_mom_10d_z20,nifty_mom_3d,nifty_mom_5d,nifty_mom_10d,nifty_mom_5d_z20,nifty_mom_10d_z20,gift_nifty_mom_3d,gift_nifty_mom_5d,gift_nifty_mom_10d,gift_nifty_mom_5d_z20,gift_nifty_mom_10d_z20,crude_mom_3d,crude_mom_5d,crude_mom_10d,crude_mom_5d_z20,crude_mom_10d_z20,usdinr_mom_3d,usdinr_mom_5d,usdinr_mom_10d,usdinr_mom_5d_z20,usdinr_mom_10d_z20,sp500_vol_5d,sp500_vol_10d,sp500_vol_ratio,nasdaq_vol_5d,nasdaq_vol_10d,nasdaq_vol_ratio,nifty_vol_5d,nifty_vol_10d,nifty_vol_ratio,gift_nifty_vol_5d,gift_nifty_vol_10d,gift_nifty_vol_ratio,crude_vol_5d,crude_vol_10d,crude_vol_ratio,sp500_nasdaq_div,sp500_nasdaq_div_z20,us_avg_ret,us_nifty_div,us_avg_ret_z20,gift_nifty_basis,gift_nifty_basis_z20,sp500_lag1,sp500_lag2,nasdaq_lag1,nasdaq_lag2,nifty_lag1,nifty_lag2,gift_nifty_lag1,gift_nifty_lag2,crude_lag1,crude_lag2,usdinr_lag1,usdinr_lag2,sp500_up_3d,sp500_up_5d,nasdaq_up_3d,nasdaq_up_5d,nifty_up_3d,nifty_up_5d,crude_up_3d,crude_up_5d,vix_level,vix_high,vix_extreme,vix_mom_3d,vix_rising,vix_level_norm,vix_ret_z20,usdinr_level,usdinr_level_norm,rupee_weak,rupee_very_weak,crude_spike,crude_up,dow_sin,dow_cos,mon_sin,mon_cos,dom_sin,dom_cos,is_monday,is_friday,is_month_end,is_month_start,is_expiry_week,quarter,sp500_nifty_corr_20d,nasdaq_nifty_corr_20d,nifty_dist_ma20,nifty_dist_ma50,nifty_above_ma20,nifty_above_ma50,sp500_dist_ma50,sp500_above_ma50,cross_mom_diff,cross_mom_diff_z20,target
2019-03-26,0.7182725862306283,0.7067718164836645,1.1361384503600025,1.3323796108360098,-1.0797858689380324,-0.3428238594462951,1.1307873033523874,0.9120399196904716,0.6420056384260134,1.3965375360179606,1.654962720698311,-0.2273501658220014,-0.4295448899205943,0.9984481281561696,-1.2630796035652092,-0.4722668590145584,0.9919181087191364,-0.5912232262891527,0.1675110408370511,-1.864381447552621,-0.3763044452556596,1.365545086562725,-0.6602407134775332,-0.0243519800775145,-0.3166333632439011,-0.4150568098207907,1.615789405439938,-1.5146056314128389,-0.914415482143198,-0.2104730931200449,-0.2701056800508028,1.6351232626464984,-1.4345358748926873,-0.8593035911033338,0.1762151569278836,0.5582818815285884,1.9698315210333828,-0.0151772599877919,0.3086019270072029,0.1441380180533191,0.4530521423486644,-1.2362177304303446,1.887841034391494,0.211606048870821,1.15575954152529,0.8277038354055035,1.3963443090277854,1.4811547585584797,1.0445174809606057,1.4180277344695909,0.7711734279386541,0.6050522135827252,1.2745568222909398,0.8714094996763506,0.685992820831128,1.270289530654691,1.1608418832805425,0.905103323306462,1.2825517839855918,0.0115007697469637,0.2472470913293875,0.7125222013571464,-0.4236162490028561,0.7626635057788407,0.1962411604760072,0.9588185159364696,-0.0839020658475631,-1.8974501239482744,-0.0671216062572255,-2.50403165777906,-0.8959700017030503,-0.5568018119008533,-0.975167332558846,-0.5676853713972085,0.2685369363774725,-1.2231090828019764,0.3343961505260839,0.1525657269735303,0,0,0,0,0,0,1,1,16.489999771118164,0,0,2.8759155887492334,1,1.0065413857370231,-0.2273501658220014,68.92340087890625,0.9757630806905708,0,0,0,1,0.9510565162951536,0.3090169943749474,1.0,6.123233995736766e-17,-0.8486442574947509,0.5289640103269624,0,0,1,0,1,1,0.536321992477627,0.5136383441026225,2.3588683724365653,4.5199071949357,1,1,2.5732723533653545,1,-0.0572100491937677,0.8726651400324961,0
2019-03-27,-0.4644324890691664,-0.6258858664673128,-0.3326601381359761,-0.2417087136872164,3.395994382748313,0.7313872769408869,-0.2059723218098108,-0.6578111273233718,-0.71562254910617,-1.0234500234295787,-0.9134904545316104,1.05017135752692,1.7377241998997075,-0.3753832867812882,0.1699380313138987,-0.6422639876389358,-0.1674727617342108,-0.6791258914481582,-0.7221007823813409,0.0137643437591261,-1.0671832156686325,0.0496293746563014,-1.0136135769859944,-0.8582383960459234,-0.0924916894790239,-0.6492935013798773,0.9247602507388208,-1.5528594293469713,-1.4646339239430768,0.1155035645899471,-0.4521818068072614,1.0920693471210383,-1.4711144695760254,-1.3488950805704485,1.1933519179200491,-0.9640628432008193,0.4439178358197182,-1.1636489209402148,-0.3976762507907364,0.7229595680206757,0.1650260347926369,-0.5834965149652982,1.3008030677676747,0.99877376473988,1.1655720074271307,0.816099025731552,1.4282237439924488,1.4969411911816064,1.0499189319708928,1.4257683561775587,0.7794144336282343,0.6193713151307833,1.258396075713098,0.8754974100119701,0.6953009569164729,1.259163244410695,0.9455495895003616,0.8193089869518568,1.154081797471899,0.1614533773981463,0.7703268216230981,-0.5451591777682396,-0.2124990396322634,-0.6926808781864848,0.0909514244487597,0.3684833207568576,0.7182725862306283,-0.0839020658475631,0.7067718164836645,-0.0671216062572255,1.1361384503600025,-0.8959700017030503,1.3323796108360098,-0.975167332558846,1.1307873033523874,0.2685369363774725,-0.3428238594462951,0.3343961505260839,1,0,1,0,0,0,1,0,17.049999237060547,0,0,4.774718699895752,1,1.0400291533299466,1.05017135752692,69.42749786376953,0.983175304186611,1,1,0,0,0.5877852522924732,-0.8090169943749473,1.0,6.123233995736766e-17,-0.72479278722912,0.6889669190756865,0,0,1,0,1,1,0.5575121607752355,0.5424650009677772,1.7289152186300332,4.067117827393972,1,1,1.95643000630348,1,0.0070295137409415,0.8956395435061226,1
2019-03-28,0.3589481529391092,0.3374166855227622,1.0917400749215211,0.7285474172959772,-2.346038923338001,-0.0828131777128371,-0.0147458881917472,0.4039682405710902,0.253062627716924,1.1876024437017834,0.655565152531543,-0.5358399929375373,0.0968825708749189,-0.1828800710792999,0.612788250100571,-1.3685639396952665,0.2782776294067757,-1.130460467478256,-0.3107003753109303,0.4183026355391139,-2.152850628497172,0.5505856288332334,-1.4965454235768565,-0.4853576884746362,1.8952183871455477,0.4424465735416438,2.0028356663869484,-0.7631896477553302,-0.8746657343109575,1.8192183144447704,0.2763656104887158,1.9030913274832304,-0.8970803311246582,-0.9351258169403108,0.9100690933508292,-0.0445030530736745,0.9028946424723072,-0.5578384728204451,-0.1073847371372927,0.3057502397817546,0.7927121172813689,-0.4963646457275095,1.945789390730044,1.2758407383204071,1.0115853769763798,0.8239827799462061,1.2276778111973938,1.2602416658671554,1.0529326535690045,1.196887246680566,0.9574717286532294,0.6935160163028843,1.3806050686138167,0.9516278534895672,0.7174070561337383,1.326482425879128,0.8498578961035723,0.7996800488990061,1.0627474028030377,0.0215314674163469,0.2246769056097994,0.3481824192309357,-0.7435576556905854,0.320090957028564,-0.363192657625544,-2.0449402489033,-0.4644324890691664,0.7182725862306283,-0.6258858664673128,0.7067718164836645,-0.3326601381359761,1.1361384503600025,-0.2417087136872164,1.3323796108360098,-0.2059723218098108,1.1307873033523874,0.7313872769408869,-0.3428238594462951,1,0,1,0,1,1,1,0,16.649999618530273,0,0,-0.0298304095277206,0,1.015373697637181,-0.5358399929375373,69.37000274658203,0.9826406650720412,0,0,0,0,-0.587785252292473,-0.8090169943749475,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763,0,0,1,0,1,1,0.5537936410953304,0.5318434972662909,2.485403469474606,5.076225903285546,1,1,2.1890869672803723,1,-1.8110105132369103,-0.3996824359070228,0
2019-03-29,0.6734280017363758,0.7843078580405782,0.0,0.0,0.0,0.1873969270159481,0.8404595950886051,0.827867553468554,0.7223354522393746,-0.5081225972934308,-0.5063731691332136,-0.0561637638058758,0.6018737613542935,0.7807647517167416,0.5679436656063186,1.2023141859893838,0.4532153411157535,0.73836858479284,-0.1428675822453069,0.4958386770960277,1.1354888873224669,0.5798114884432826,0.4277672188363124,-0.4283686899088954,0.759079936785545,0.9992483854424972,1.2658369281505433,-0.355301619146789,-1.3880658265809611,0.4868387036087607,0.8440509818859243,0.9252068429676186,-0.4724081800469407,-1.5654995088081864,0.619741385087047,2.019065624816907,1.84747396287549,1.1946637593042058,0.3406735938451349,0.8359710262439979,0.8275433173237867,0.248927826680656,1.7386163078472203,2.044635030039367,0.5079098766862302,0.8368422610200609,0.6069362169403134,0.5845696412003695,1.0551298427551112,0.5540262600477105,0.8939284806222756,0.6688641949390983,1.3364872660991858,0.890632750264931,0.6626858466795648,1.3439743030329323,0.5666747704162609,0.8293994419277925,0.6832350506721954,-0.1108798563042023,-0.2961196553830074,0.728867929888477,0.728867929888477,0.7711642233541661,0.0,0.0362627865078033,0.3589481529391092,-0.4644324890691664,0.3374166855227622,-0.6258858664673128,1.0917400749215211,-0.3326601381359761,0.7285474172959772,-0.2417087136872164,-0.0147458881917472,-0.2059723218098108,-0.0828131777128371,0.7313872769408869,1,1,1,1,1,1,1,1,16.649999618530273,0,0,1.0499554594103118,1,1.0151259795429737,-0.0561637638058758,69.5,0.9847246567408536,1,0,0,1,-0.9510565162951536,0.3090169943749472,1.0,6.123233995736766e-17,-0.3943558551133187,0.9189578116202306,0,1,1,0,1,1,0.5076287267872329,0.4913096297208468,2.1657230475707983,4.94983116413116,1,1,2.7551573982389823,1,0.2030658005468866,1.119858850907605,1
2019-04-01,1.1568600124275408,1.288474720882915,0.8569610252809001,0.9117472573260345,8.168172021085084,-0.1007189853585832,0.9065693114713946,1.3187706531988217,1.1303346814362465,0.787149838928553,0.8858379687320763,2.388189073031671,0.0203284917358274,0.8703099524961917,2.189236167103026,2.443076264264488,1.2394806634168145,1.4605094029896213,0.4811156222899369,2.4101992644462555,2.4910852144626072,1.5307679055979628,1.1176369512322393,0.2069152746938689,1.9487011002024213,2.752179412426448,1.8134337179163795,0.8914951375845157,-0.9856347614628538,1.6402946746220115,2.730965571770805,1.75270983366711,0.870119790122013,-1.0006973307349167,1.7322830183682525,2.657097999910829,2.188234410890322,1.6784390310230162,0.4719813283453987,0.0038647639445277,0.3924281814391195,0.7024562873725992,1.1565850272552685,2.228326547789921,0.6038548784281298,0.9049640002361214,0.66726950199489,0.7140228202732722,1.123745348020862,0.6353955732901694,0.6732112655575548,0.706829375766472,0.9524381522416208,0.6527036730581769,0.711411768669319,0.917476630111938,0.5994848320110858,0.8534464883060103,0.7024281422711853,-0.1316147084553742,-0.3818202277113058,1.222667366655228,0.3657063413743278,1.2167938003264962,0.0547862320451342,0.3870970023143857,0.6734280017363758,0.3589481529391092,0.7843078580405782,0.3374166855227622,0.0,1.0917400749215211,0.0,0.7285474172959772,0.8404595950886051,-0.0147458881917472,0.1873969270159481,-0.0828131777128371,1,1,1,1,1,1,1,1,18.010000228881836,0,0,5.822133097747082,1,1.0963636685983371,2.388189073031671,69.43000030517578,0.9839829551250316,0,0,0,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,1,0,0,1,0,2,0.5239426410045417,0.5104072415368739,2.676020987524113,5.713562365805125,1,1,3.7960236360526047,1,-0.3091031481619599,0.752795025341888,1
2019-04-02,0.0017455707207236,0.2526505575039639,0.3774893905120091,0.3645148166364409,0.3886712600478459,-0.3380427235103234,0.521664395316046,-0.1788078387011419,0.0719342698531998,0.0918062342538608,0.0669921678099724,-0.1239438375412222,-0.4712834874314344,0.3427690127841594,1.8320335848846403,1.726549248754583,1.2542823897400246,0.8854237906870385,0.4546386423092334,2.325433136427457,2.0369639554829067,1.660659510227247,0.7991208457349356,0.2781120318065086,1.2344504157929093,1.9935303525784545,1.5784735427576635,0.2761723046308244,-1.0479262268067258,1.2762620739624753,1.763100777571236,1.4929950975204331,0.1012736923071168,-1.0841677953824171,2.268693301876046,2.047975091874488,2.606256973403076,0.9961148996609442,0.65190410243682,-0.2513647818529585,0.3972093173750912,0.8502614597237557,1.0901301136756003,2.013636402619771,0.6205199957737085,0.9047270895754828,0.6858642813259913,0.7097318037595195,1.1241066104873876,0.6313741032271143,0.588346612160638,0.6947077706877637,0.8468979852222962,0.4826110452361072,0.6978112287217876,0.6916068768748833,0.5010428205256747,0.8574062780016389,0.5843703653641158,-0.2509049867832402,-0.8032234930479303,0.1271980641123438,-0.2502913263996653,-0.0381704864784029,-0.0129745738755682,-0.1018930756848748,1.1568600124275408,0.6734280017363758,1.288474720882915,0.7843078580405782,0.8569610252809001,0.0,0.9117472573260345,0.0,0.9065693114713946,0.8404595950886051,-0.1007189853585832,0.1873969270159481,1,1,1,1,1,1,1,1,18.07999992370605,0,0,8.556843281132931,1,1.0989237020274365,-0.1239438375412222,69.19529724121094,0.9809485924988628,0,0,0,1,0.9510565162951536,0.3090169943749474,0.8660254037844387,-0.4999999999999998,0.3943558551133185,0.9189578116202306,0,0,0,1,0,2,0.5706209492661538,0.5475074884745299,2.735586467456438,5.960865384340507,1,1,3.6220216947718606,1,-0.2669811038238712,0.7257862066591257,0
2019-04-03,0.2148376881724312,0.5970405714976534,-0.5912133221091298,-0.3076914072003167,3.871685652064816,-0.4120153048117192,-0.0865001954915456,0.0417585883596188,0.3539259712737301,-1.348671501381935,-0.9500166315120542,0.9385269749650104,-0.605610805858136,-0.4410015100069457,1.3734432713206957,2.4058194259961807,1.763555438357245,1.2074273660658923,0.7880734769258967,2.1381658498845324,3.259890393447873,2.1927071777792406,1.319777457237381,0.5715000610033213,0.6432370936837795,1.7349771686053006,1.0856836672254233,0.095961754444376,-1.259436904005072,0.9685706667621584,1.6971180840581357,1.2449362772508743,0.076071831555573,-1.1492129926569594,1.341733511295895,2.167447218192753,1.2033843749919335,1.0193753847111915,-0.3818394037716894,-0.8507770136806259,-0.7461932643775149,-0.581167229584878,-0.1878865368375114,0.6619808485873722,0.4497885602011213,0.8927207267169148,0.5038401666234762,0.4135422030972893,1.1313589142789648,0.3655269760218578,0.6738473245313529,0.7314143807475949,0.9212935120598874,0.5033804465449473,0.7103597959792578,0.7086274430021633,0.4659689434734378,0.7764162583738413,0.6001535102436277,-0.3822028833252222,-1.183198307775281,0.4059391298350423,0.997152451944172,0.2177164410008662,0.283521914908813,1.6808820227260477,0.0017455707207236,1.1568600124275408,0.2526505575039639,1.288474720882915,0.3774893905120091,0.8569610252809001,0.3645148166364409,0.9117472573260345,0.521664395316046,0.9065693114713946,-0.3380427235103234,-0.1007189853585832,1,1,1,1,1,1,1,1,18.780000686645508,0,0,12.428528933197748,1,1.1390290718729112,0.9385269749650104,68.91020202636719,0.9772488685964232,0,0,0,0,0.5877852522924732,-0.8090169943749473,0.8660254037844387,-0.4999999999999998,0.5712682150947923,0.8207634412072763,0,0,0,1,0,2,0.5829716009007955,0.5409176766120077,1.864209770232292,5.179803676034096,1,1,3.6687760265468135,1,0.6708422573908801,1.3031924339927552,0
2019-04-04,0.2084635079680152,-0.047748663798075,-0.3946272059030087,-0.2742567027497422,-0.6922314343027369,-0.0873652238358779,0.1298571208418586,-0.0365265197999062,-0.3967854793060719,-0.9794170975105194,-0.8458794275469415,-0.5713686760256159,0.0448039700962698,-0.1340301302674466,0.4250467668611701,2.2553347810250868,0.8867708413298203,1.0060050366987423,-0.0143524188038744,0.8019424652035423,2.874725044127036,0.721874415629864,1.010761352674015,-0.4772354506250227,-0.6083511375001294,0.2486098877807707,0.6910564613224146,-0.9690118405125296,-1.382283584310602,-0.217433293313618,0.6943139640124163,0.970679574501132,-0.6449650570039983,-1.219020624347298,0.565021320666359,2.312050227226359,2.2675471741526843,1.0520291411247271,0.3070240720861789,-0.8374232521579206,-0.7507453105005557,0.0419668067808132,-0.2190036219636411,1.1246088990236016,0.464795299139026,0.8347070526611642,0.5568364339325472,0.5111425412221335,1.0501616134743172,0.4867275038213978,0.5851886207491727,0.7483722037546086,0.7819486306831187,0.5093207431797246,0.72091614911572,0.7064909602843126,0.4346273961189602,0.6831277743175319,0.6362314808776973,0.2562121717660903,1.3013597033381228,0.0803574220849701,0.4749846279879788,-0.2393428648865563,0.1203705031532664,0.6464897795861158,0.2148376881724312,0.0017455707207236,0.5970405714976534,0.2526505575039639,-0.5912133221091298,0.3774893905120091,-0.3076914072003167,0.3645148166364409,-0.0865001954915456,0.521664395316046,-0.4120153048117192,-0.3380427235103234,1,1,1,1,0,1,1,1,18.64999961853028,0,0,3.5681254778099247,1,1.1289346023546891,-0.5713686760256159,68.8499984741211,0.9767392099239434,0,0,0,1,-0.587785252292473,-0.8090169943749475,0.8660254037844387,-0.4999999999999998,0.72479278722912,0.6889669190756866,0,0,0,1,0,2,0.5752832781250903,0.5523524614812165,1.2232224367185816,4.623316376542365,1,1,3.70748908949557,1,2.006724893244316,2.088235521566197,1
2019-04-05,0.4636432770241061,0.5944179580154252,0.5858785593421345,0.5623353325891589,-1.3941031324392394,0.1748721536179998,1.3544593535220528,0.2761194808254792,0.2711997314709909,0.4746800712426092,0.4436593862576375,-0.8299612555832847,0.620092028531726,1.3447543393395456,0.8869444731645526,2.045550056312817,3.247864242302201,0.8018026575053148,1.967210499227355,1.1437098657150035,2.6848351441018825,3.820324031424349,0.8407493414243375,1.5964787057951415,-0.399961968670004,0.8344884471229053,1.8337368325654024,-0.4845140705798633,-0.6657847197013096,-0.0196127773609,1.2566492966015752,2.1007002784874995,-0.1881173139792109,-0.5194387015803702,1.3978162788723658,2.8260499856598065,4.8451156104767135,1.391227780164806,2.5830700930178208,-0.3245083750295974,-0.763270083898504,0.0642732334252826,-0.2159110303371897,1.064913711860976,0.448901571488108,0.4605606400150525,0.974685050157025,0.4985984226009023,0.5376218820026424,0.9274146725877448,0.6297070261832571,0.7291753982636331,0.8635878648939264,0.5325486806868993,0.6931700857104064,0.768279951626632,0.582150163091405,0.5482496194576557,1.0618341378977163,-0.130774680991319,-0.1906321980233471,0.5290306175197657,-0.0568479418223688,0.274880166297518,-0.0235432267529756,-0.1745935108481666,0.2084635079680152,0.2148376881724312,-0.047748663798075,0.5970405714976534,-0.3946272059030087,-0.5912133221091298,-0.2742567027497422,-0.3076914072003167,0.1298571208418586,-0.0865001954915456,-0.0873652238358779,-0.4120153048117192,1,1,1,1,0,1,1,1,18.38999938964844,0,0,1.7853510853228394,1,1.1113460892343066,-0.8299612555832847,68.97039794921875,0.9787574740864872,1,0,0,1,-0.9510565162951536,0.3090169943749472,0.8660254037844387,-0.4999999999999998,0.8486442574947509,0.5289640103269624,0,1,0,1,0,2,0.5674634295614377,0.5458605330466154,1.5368779784817277,5.068445079015514,1,1,4.017500298743875,1,1.2110616091899118,1.4451109775060849,0
2019-04-08,0.1047459953920526,0.191340655931449,-0.5267483083991831,-0.4449037241893272,9.570420268053525,0.2749088283211298,1.080469399770312,-0.1472084271134111,-0.0831960678398907,-1.1443261233357154,-1.057046104494357,2.27313296741743,0.7573846261688135,1.0098319622574754,0.776852780384174,0.9934360392773288,3.4365123035418166,-0.0252698865545315,1.8804359455840216,0.7380099501487991,1.5877010791504165,4.078786293613024,0.1383510057758684,1.5845920321348257,-0.3354969549600572,-0.5492208865571779,2.2029585258692697,-1.3812960511325272,-0.426808396416185,-0.1568250943499105,-0.1000016849137863,2.6309638868570184,-1.121128088268127,-0.1863724503462809,2.5647858741342238,2.999950073958724,5.657048073869553,1.3963360606460873,2.5947650497439283,0.3624157581032516,-0.3876422702187909,0.0047859112203285,0.1624730717902122,0.9300588459405144,0.171878658131298,0.4455804737742483,0.3857410004744478,0.2776484716292523,0.5195381855573048,0.534413983058833,0.549579569780242,0.6758475205898211,0.8131709479195036,0.4513651723643902,0.6074032136371571,0.7431063278682533,0.6120688425186063,0.5723048994724549,1.0694803452029242,-0.0865946605393963,-0.1222251041069092,0.1480433256617508,0.6747916340609339,-0.1124038438243475,0.0818445842098558,0.5047670606976464,0.4636432770241061,0.2084635079680152,0.5944179580154252,-0.047748663798075,0.5858785593421345,-0.3946272059030087,0.5623353325891589,-0.2742567027497422,1.3544593535220528,0.1298571208418586,0.1748721536179998,-0.0873652238358779,1,1,1,1,0,0,1,1,20.14999961853028,1,0,7.484085701311548,1,1.2138765962136586,2.27313296741743,69.16000366210938,0.9817121149553256,1,0,0,1,0.0,1.0,0.8660254037844387,-0.4999999999999998,0.9987165071710528,-0.0506491688387126,1,0,0,0,0,2,0.4921123770346097,0.458412684544374,0.8105581660855584,4.3377789064478485,1,1,3.938148317713425,1,1.5426569258345069,1.6447974684380542,1
