date,sp500_ret,nasdaq_ret,nifty_ret,gift_nifty_ret,target,sp500_mom_3d,sp500_mom_5d,sp500_mom_10d,nasdaq_mom_3d,nasdaq_mom_5d,nasdaq_mom_10d,nifty_mom_3d,nifty_mom_5d,nifty_mom_10d,gift_nifty_mom_3d,gift_nifty_mom_5d,gift_nifty_mom_10d,sp500_vol_5d,sp500_vol_10d,nasdaq_vol_5d,nasdaq_vol_10d,nifty_vol_5d,nifty_vol_10d,gift_nifty_vol_5d,gift_nifty_vol_10d,sp500_nasdaq_div,us_avg_ret,us_nifty_div,gift_nifty_basis,sp500_lag1,sp500_lag2,nasdaq_lag1,nasdaq_lag2,nifty_lag1,nifty_lag2,gift_nifty_lag1,gift_nifty_lag2,sp500_up_3d,sp500_up_5d,nasdaq_up_3d,nasdaq_up_5d
2019-01-16,0.2221985488116251,0.1546145501878149,0.0321490250835054,0.0321490250835054,1,0.7686148943163995,1.2058269884185902,4.244101945434364,0.9215887911228072,1.1294410068441452,5.557003634722502,0.8903883014117706,0.33504990682444724,0.9239047853723646,0.8903883014117706,0.33504990682444724,0.9239047853723646,0.5892591411348762,1.468038230008787,0.9728214135000849,1.8803542965833702,0.7661181419499546,0.6899799155513553,0.7661181419499546,0.6899799155513553,0.0675839986238102,0.18840654949972,0.1562575244162146,0.0,1.0721688622945758,-0.5257525167898014,1.7073779827146751,-0.9404037417796828,1.3895116296032572,-0.5312723532749919,1.3895116296032572,-0.5312723532749919,1,1,1,1
2019-01-17,0.7591400382211066,0.7074941460931017,0.1368225934293088,0.1368225934293088,1,2.0535074493273076,1.5131251483465724,7.478915023159194,2.5694866789955917,1.4202409972252528,9.301427953989993,1.5584832481160713,0.7809495746623818,2.1749270545023958,1.5584832481160713,0.7809495746623818,2.1749270545023958,0.6312551105897866,1.0567973600549014,0.9955087213526855,1.3958496559220799,0.7367861043455343,0.5451054225786844,0.7367861043455343,0.5451054225786844,0.05164589212800497,0.7333170921571042,0.5964944987277954,0.0,0.2221985488116251,1.0721688622945758,0.1546145501878149,1.7073779827146751,0.0321490250835054,1.3895116296032572,0.0321490250835054,1.3895116296032572,1,1,1,1
2019-01-18,1.318305304897005,1.0271780761341276,0.0160473899484481,0.0160473899484481,1,2.299643891929737,2.846060237434511,5.363648863793846,1.8892867724150442,2.6562610133500364,6.0683776201101995,0.18501900846126218,1.0432582847895278,1.6746858513706497,0.18501900846126218,1.0432582847895278,1.6746858513706497,0.7364687150191135,0.5493881341648156,0.9959797544603738,0.7753315101972097,0.709811033482037,0.5375392907669531,0.709811033482037,0.5375392907669531,0.29112722876287744,1.1727416905155663,1.1566943005671182,0.0,0.7591400382211066,0.2221985488116251,0.7074941460931017,0.1546145501878149,0.1368225934293088,0.0321490250835054,0.1368225934293088,0.0321490250835054,1,1,1,1
2019-01-21,0.0,0.0,0.5033434010370152,0.5033434010370152,0,2.0774453431181117,3.3718127542243126,4.662605378925811,1.7346722222272293,3.5966647551297193,4.812818767736282,0.6562133844147721,2.077874039101535,1.7636659946496325,0.6562133844147721,2.077874039101535,1.7636659946496325,0.5566229623829794,0.5703671284963814,0.6905592895756246,0.7601184680682376,0.5789206647517611,0.5427910963059941,0.5789206647517611,0.5427910963059941,0.0,0.0,-0.5033434010370152,0.0,1.318305304897005,0.7591400382211066,1.0271780761341276,0.7074941460931017,0.0160473899484481,0.1368225934293088,0.0160473899484481,0.1368225934293088,1,1,1,1
2019-01-22,-1.4157306164566674,-1.912333648087361,-0.3566880660501037,-0.3566880660501037,0,-0.09742531155966239,0.8839132754730694,2.2773462601332506,-0.8851555719532334,-0.02304687567231678,1.8228840920032963,0.16270272493535953,0.3316743434481739,1.1252182738731853,0.16270272493535953,0.3316743434481739,1.1252182738731853,1.0261124831500186,0.7921513538079888,1.1441658725779078,1.0370818345578796,0.307648696738836,0.5660661130581788,0.307648696738836,0.5660661130581788,0.4966030316306935,-1.6640321322720142,-1.3073440662219105,0.0,0.0,1.318305304897005,0.0,1.0271780761341276,0.5033434010370152,0.0160473899484481,0.5033434010370152,0.0160473899484481,0,1,0,0
2019-01-23,0.2202912774223575,0.0770638023600112,-0.8354123274816327,-0.8354123274816327,1,-1.1954393390343099,0.8820060040838018,2.087832992502392,-1.8352698457273497,-0.10059762350012047,1.0288433833440247,-0.6887569924947213,-0.5358870091169643,-0.20083710229251706,-0.6887569924947213,-0.5358870091169643,-0.20083710229251706,1.0260917334214203,0.7895743105001938,1.141991418719635,1.0084863859152855,0.5099111874207033,0.6203617956108376,0.5099111874207033,0.6203617956108376,0.1432274750623463,0.14867753989118435,0.9840898673728171,0.0,-1.4157306164566674,0.0,-1.912333648087361,0.0,-0.3566880660501037,0.5033434010370152,-0.3566880660501037,0.5033434010370152,0,1,0,0
2019-01-24,0.1375725554363605,0.6787859732623636,0.1689498655541799,0.1689498655541799,0,-1.0578667835979494,0.2604385212990556,1.773563669645628,-1.1564838724649862,-0.1293057963308586,1.2909352008943942,-1.0231505279775566,-0.5037597369920932,0.2771898376702886,-1.0231505279775566,-0.5037597369920932,0.2771898376702886,0.9741805358267449,0.7850665437242319,1.1374818692001962,1.020877617800582,0.513941026288624,0.6140036527019708,0.513941026288624,0.6140036527019708,-0.5412134178260031,0.408179264349362,0.23922939879518212,0.0,0.2202912774223575,-1.4157306164566674,0.0770638023600112,-1.912333648087361,-0.8354123274816327,-0.3566880660501037,-0.8354123274816327,-0.3566880660501037,0,1,0,0
2019-01-25,0.8488694060713842,1.292152678441627,-0.6382606245884936,-0.6382606245884936,0,1.2067332389301022,-0.20899737752656522,2.637062859907946,2.048002454064002,0.13566880597664088,2.7919298193266773,-1.3047230865159465,-1.158067751529035,-0.1148094667395072,-1.3047230865159465,-1.158067751529035,-0.1148094667395072,0.8342048491065946,0.8087351782583174,1.20308837457602,1.0746021352071975,0.5581646735693058,0.6451616211041546,0.5581646735693058,0.6451616211041546,-0.4432832723702429,1.0705110422565056,1.7087716668449993,0.0,0.1375725554363605,0.2202912774223575,0.6787859732623636,0.0770638023600112,0.1689498655541799,-0.8354123274816327,0.1689498655541799,-0.8354123274816327,1,0,1,1
2019-01-28,-0.7846827493937836,-1.10511146080865,-1.1038398055380982,-1.1038398055380982,0,0.20175921211396108,-0.9936801269203488,2.378132627303964,0.8658271908953405,-0.9694426548320092,2.6272221002977103,-1.573150564572412,-2.7652509581041484,-0.6873769190026136,-1.573150564572412,-2.7652509581041484,-0.6873769190026136,0.8959037169421893,0.840346699527695,1.3063953538029736,1.096413217894274,0.4873911569193978,0.7177420673763625,0.4873911569193978,0.7177420673763625,0.3204287114148665,-0.9448971051012168,0.1589427004368814,0.0,0.8488694060713842,0.1375725554363605,1.292152678441627,0.6787859732623636,-0.6382606245884936,0.1689498655541799,-0.6382606245884936,0.1689498655541799,1,0,1,0
2019-01-29,-0.1456246577543507,-0.8099453446249072,-0.0876946555264379,-0.0876946555264379,0,-0.08143800107675006,0.2764258317819679,1.1603391072550373,-0.6229041269919302,0.13294564863044456,0.10989877295812778,-1.8297950856530298,-2.4962575475804827,-2.1645832041323088,-1.8297950856530298,-2.4962575475804827,-2.1645832041323088,0.5936507882435252,0.7929001930506668,1.0012611628001986,1.0137384720363705,0.5276662673998904,0.5046492202463276,0.5276662673998904,0.5046492202463276,0.6643206868705565,-0.47778500118962897,-0.39009034566319106,0.0,-0.7846827493937836,0.8488694060713842,-1.10511146080865,1.292152678441627,-1.1038398055380982,-0.6382606245884936,-1.1038398055380982,-0.6382606245884936,0,1,0,1
